City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Russell,32.3502,-85.1999,74.91,90,40,8.05,US,1624133565
Chokurdakh,70.6333,147.9167,61.21,42,79,10.74,RU,1624133566
São João del Rei,-21.1356,-44.2617,63.21,77,100,10.25,BR,1624133566
Show Low,34.2542,-110.0298,97.07,13,1,6.91,US,1624133566
Saldanha,-33.0117,17.9442,65.44,44,16,8.23,ZA,1624133567
Busselton,-33.65,115.3333,56.08,79,100,10.04,AU,1624133567
Rudnyy,52.9594,63.1206,58.8,73,100,9.93,KZ,1624133567
Bonnyville,54.2668,-110.735,63.82,56,93,7.29,CA,1624133399
Bredasdorp,-34.5322,20.0403,58.39,47,47,4.7,ZA,1624133567
Golden,39.7555,-105.2211,84.2,48,75,5.01,US,1624133568
Vaini,-21.2,-175.2,74.16,71,100,9.13,TO,1624133568
Berlevåg,70.8578,29.0864,44.26,86,98,5.32,NO,1624133568
Rocha,-34.4833,-54.3333,51.37,93,95,6.04,UY,1624133318
Chui,-33.6971,-53.4616,54.25,95,100,7.02,UY,1624133568
Airai,-8.9266,125.4092,56.73,94,79,3.44,TL,1624133278
Puerto Ayora,-0.7393,-90.3518,80.56,84,69,8.99,EC,1624133569
Lebu,-37.6167,-73.65,52.45,64,95,5.97,CL,1624133569
Punta Arenas,-53.15,-70.9167,44.11,81,90,16.11,CL,1624133377
Port Elizabeth,-33.918,25.5701,52.09,93,40,2.3,ZA,1624133569
Butaritari,3.0707,172.7902,81.59,72,34,2.39,KI,1624133569
Castro,-24.7911,-50.0119,54.61,98,100,2.44,BR,1624133570
Namatanai,-3.6667,152.4333,78.12,82,10,4.81,PG,1624133570
Saskylakh,71.9167,114.0833,71.98,48,47,7.29,RU,1624133570
Emba,48.8264,58.1442,67.46,42,0,6.29,KZ,1624133570
Padang,-0.9492,100.3543,75.74,82,90,4.03,ID,1624133571
Nikolskoye,59.7035,30.7861,73.29,69,5,4.05,RU,1624133571
Talnakh,69.4865,88.3972,43.57,97,99,3.24,RU,1624133483
Tazovsky,67.4667,78.7,40.96,75,99,5.23,RU,1624133571
Korla,41.7597,86.1469,73.42,27,8,5.59,CN,1624133571
Luanda,-8.8368,13.2343,75.2,83,20,9.22,AO,1624133572
Fortuna,40.5982,-124.1573,71.92,67,1,3.0,US,1624133549
Rikitea,-23.1203,-134.9692,74.46,77,9,21.5,PF,1624133572
Saint Paul Harbor,57.79,-152.4072,49.51,93,90,12.66,US,1624133572
Bathsheba,13.2167,-59.5167,86.61,66,40,14.97,BB,1624133283
Hermanus,-34.4187,19.2345,63.43,47,19,7.67,ZA,1624133573
Dikson,73.5069,80.5464,31.39,84,57,6.67,RU,1624133573
Juneau,58.3019,-134.4197,67.84,72,20,9.22,US,1624133573
Neckarsulm,49.1928,9.2261,82.35,82,21,6.35,DE,1624133573
Caravelas,-17.7125,-39.2481,72.34,70,50,10.11,BR,1624133574
Trelew,-43.249,-65.3051,49.06,46,2,11.27,AR,1624133287
Nadym,65.5333,72.5167,47.57,74,31,10.25,RU,1624133574
Laas,46.6166,10.7002,75.11,83,72,2.98,IT,1624133574
Esperance,-33.8667,121.9,53.37,58,100,16.96,AU,1624133575
Tuatapere,-46.1333,167.6833,30.81,90,2,3.49,NZ,1624133288
Adrar,20.5022,-10.0711,90.48,14,0,11.68,MR,1624133575
Barrow,71.2906,-156.7887,39.22,75,1,11.5,US,1624133575
Pacific Grove,36.6177,-121.9166,95.29,78,1,5.99,US,1624133575
Lázaro Cárdenas,17.9583,-102.2,79.38,84,100,9.6,MX,1624133358
Hastings,50.8552,0.5729,58.91,95,100,18.34,GB,1624133334
Kapaa,22.0752,-159.319,82.72,73,40,1.01,US,1624133470
Maracaibo,10.6317,-71.6406,91.51,53,11,11.16,VE,1624133576
Cape Town,-33.9258,18.4232,59.11,39,40,5.55,ZA,1624133576
Hambantota,6.1241,81.1185,80.08,77,98,16.91,LK,1624133576
Albany,42.6001,-73.9662,85.64,45,100,9.01,US,1624133577
Port Hedland,-20.3167,118.5667,59.05,82,0,8.05,AU,1624133577
Turinsk,58.0458,63.696,56.84,99,100,7.72,RU,1624133577
Leningradskiy,69.3833,178.4167,41.0,87,91,4.88,RU,1624133577
Kieta,-6.2167,155.6333,76.93,82,4,2.64,PG,1624133578
Longyearbyen,78.2186,15.6401,40.84,70,75,24.16,SJ,1624133578
Thunder Bay,48.4001,-89.3168,57.56,68,100,5.66,CA,1624133520
Pavino,59.1139,46.1414,64.49,80,6,5.3,RU,1624133578
New Norfolk,-42.7826,147.0587,46.65,86,93,2.39,AU,1624133578
Mataura,-46.1927,168.8643,30.47,98,26,1.9,NZ,1624133579
Tateyama,34.9833,139.8667,73.15,97,100,7.14,JP,1624133579
Kulhudhuffushi,6.6221,73.07,82.08,78,100,15.52,MV,1624133579
Hobart,-42.8794,147.3294,47.01,93,75,3.44,AU,1624133579
Bengkulu,-3.8004,102.2655,75.49,85,98,4.0,ID,1624133580
Bikin,46.8161,134.26,50.88,88,100,3.71,RU,1624133580
Celestún,20.8667,-90.4,88.59,56,60,4.14,MX,1624133580
Barcelos,41.5388,-8.6151,60.85,84,100,6.04,PT,1624133580
Mossamedes,-15.1961,12.1522,68.4,73,5,8.81,AO,1624133581
Sola,-13.8833,167.55,80.17,79,81,11.95,VU,1624133581
Valleyview,55.0667,-117.2859,63.95,62,30,11.88,CA,1624133581
Tahe,52.3333,124.7333,50.72,99,46,3.0,CN,1624133581
Fuzhou,26.0614,119.3061,78.8,98,100,0.16,CN,1624133582
Bluff,-46.6,168.3333,30.79,89,13,8.66,NZ,1624133582
Provideniya,64.3833,-173.3,54.79,58,23,3.09,RU,1624133323
Khatanga,71.9667,102.5,58.23,73,15,5.73,RU,1624133582
Lüderitz,-26.6481,15.1594,67.68,40,20,2.77,NA,1624133582
Kjøllefjord,70.9457,27.3465,43.36,83,98,3.76,NO,1624133583
Yellowknife,62.456,-114.3525,53.56,46,16,5.99,CA,1624133583
Weymouth,42.2209,-70.9398,93.06,47,75,3.0,US,1624133583
Tabuk,17.4189,121.4443,75.04,77,92,2.73,PH,1624133583
Henties Bay,-22.116,14.2845,61.57,74,4,3.15,NA,1624133584
Hong Kong,22.2855,114.1577,86.97,87,98,1.01,HK,1624133584
Geraldton,-28.7667,114.6,45.01,81,91,11.5,AU,1624133584
Hamilton,39.1834,-84.5333,81.95,74,40,1.99,US,1624133584
Clyde River,70.4692,-68.5914,34.07,100,100,3.58,CA,1624133585
Panzós,15.4,-89.6667,88.57,63,100,3.94,GT,1624133585
Codrington,-38.2667,141.9667,50.77,86,100,5.46,AU,1624133585
Taketa,32.9652,131.3785,58.78,53,83,3.04,JP,1624133585
Ushuaia,-54.8,-68.3,40.66,81,75,21.85,AR,1624133380
Port Alfred,-33.5906,26.891,64.54,54,12,9.24,ZA,1624133586
Pisco,-13.7,-76.2167,66.25,77,90,9.22,PE,1624133586
Sabha,27.0377,14.4283,90.81,16,0,11.03,LY,1624133586
Saint-Pierre,-21.3393,55.4781,69.3,66,0,10.36,RE,1624133586
Ampanihy,-24.7,44.75,64.69,79,28,13.98,MG,1624133587
Saint-Philippe,-21.3585,55.7679,69.22,74,37,11.07,RE,1624133587
Qaanaaq,77.484,-69.3632,40.69,53,9,3.58,GL,1624133587
Jamestown,42.097,-79.2353,72.99,92,90,8.99,US,1624133448
El Alto,-4.2714,-81.2147,73.06,75,25,15.75,PE,1624133588
Cabo San Lucas,22.8909,-109.9124,103.51,45,1,12.66,MX,1624133422
Alta Floresta,-9.8756,-56.0861,89.91,40,95,4.7,BR,1624133588
Foumban,5.7291,10.9001,66.11,92,100,1.61,CM,1624133588
Singapore,1.2897,103.8501,78.75,91,75,0.0,SG,1624133488
Fort Morgan,40.2503,-103.8,92.05,29,1,11.5,US,1624133588
Atuona,-9.8,-139.0333,79.66,75,16,21.12,PF,1624133589
Talcahuano,-36.7167,-73.1167,58.68,55,75,4.61,CL,1624133589
Oistins,13.0667,-59.5333,86.09,66,40,14.97,BB,1624133589
Manassas,38.751,-77.4753,89.4,62,1,4.61,US,1624133549
Beringovskiy,63.05,179.3167,42.24,89,98,6.44,RU,1624133417
Ribeira Grande,38.5167,-28.7,72.0,78,40,14.97,PT,1624133590
Faanui,-16.4833,-151.75,80.26,79,8,15.93,PF,1624133590
Saint-Augustin,51.226,-58.6502,64.76,52,27,17.25,CA,1624133590
San Patricio,28.017,-97.5169,95.09,47,25,14.09,US,1624133591
Mareeba,-17.0,145.4333,56.44,84,100,1.99,AU,1624133591
Carnarvon,-24.8667,113.6333,46.47,43,27,5.75,AU,1624133591
Souillac,-20.5167,57.5167,71.02,64,4,15.35,MU,1624133591
Killybegs,54.6333,-8.45,60.51,73,100,8.14,IE,1624133592
Muborak,39.2553,65.1528,81.48,24,0,15.5,UZ,1624133592
Ron,15.6667,75.7333,72.73,86,100,15.19,IN,1624133592
Talara,-4.5772,-81.2719,75.96,73,0,12.66,PE,1624133592
Sept-Îles,50.2001,-66.3821,54.25,97,100,3.0,CA,1624133498
Kūstī,13.1629,32.6635,85.73,47,74,17.16,SD,1624133593
Lodja,-3.4833,23.4333,74.21,46,42,0.72,CD,1624133593
Yola,9.2,12.4833,83.98,58,97,3.31,NG,1624133593
Curup,-3.4667,102.5333,66.88,96,100,1.36,ID,1624133594
George Town,5.4112,100.3354,78.73,89,20,0.0,MY,1624133485
São Gabriel da Cachoeira,-0.1303,-67.0892,81.88,86,95,2.21,BR,1624133594
Davila,18.4726,120.5763,81.75,82,53,19.37,PH,1624133594
Novobelokatay,55.7062,58.9549,61.36,97,77,12.77,RU,1624133595
Champerico,14.3,-91.9167,88.75,72,100,5.91,GT,1624133595
Pochutla,15.7432,-96.4661,88.83,68,85,6.24,MX,1624133595
Ahipara,-35.1667,173.1667,58.77,88,37,15.32,NZ,1624133595
Constitución,-35.3333,-72.4167,56.73,61,99,10.07,CL,1624133596
Palmer,42.1584,-72.3287,87.35,43,75,1.01,US,1624133596
Sovetskiy,61.3614,63.5842,55.53,96,99,10.58,RU,1624133596
Binzhou,37.3667,118.0167,77.72,38,81,10.71,CN,1624133596
Yulara,-25.2406,130.9889,35.44,87,8,5.75,AU,1624133597
Itapeva,-23.9822,-48.8756,59.61,90,95,4.99,BR,1624133597
Bud,39.447,-86.1758,82.31,66,100,13.56,US,1624133597
Businga,3.3333,20.8833,76.08,71,95,1.72,CD,1624133598
Tuktoyaktuk,69.4541,-133.0374,57.06,44,49,9.78,CA,1624133598
Erzin,36.9559,36.2,74.12,83,2,1.72,TR,1624133598
Pangai,-19.8,-174.35,76.12,75,18,12.28,TO,1624133598
Zapolyarnyy,69.4154,30.8136,52.88,78,100,12.55,RU,1624133599
Hithadhoo,-0.6,73.0833,83.5,70,100,14.79,MV,1624133599
Muros,42.7762,-9.0603,60.1,77,100,15.82,ES,1624133599
Sorong,-0.8833,131.25,77.2,86,100,6.13,ID,1624133599
Arraial do Cabo,-22.9661,-42.0278,71.46,78,0,19.57,BR,1624133600
Garissa,-0.4536,39.6401,75.07,59,68,20.04,KE,1624133600
Kungurtug,50.5994,97.5228,50.09,67,0,1.74,RU,1624133600
Cherskiy,68.75,161.3,52.57,55,100,11.5,RU,1624133600
Zhigansk,66.7697,123.3711,63.91,60,89,3.27,RU,1624133601
Kaitangata,-46.2817,169.8464,43.97,93,70,5.44,NZ,1624133601
Makat,47.6469,53.3463,79.14,23,0,9.42,KZ,1624133601
Idaho Falls,43.4666,-112.0341,89.69,21,1,1.01,US,1624133077
Lagunas,-5.2269,-75.6753,79.02,91,42,3.22,PE,1624133601
Muroto-misakicho,33.2833,134.15,72.16,80,97,4.74,JP,1624133602
Dicabisagan,17.0818,122.4157,78.73,80,98,3.31,PH,1624133602
Preobrazheniye,42.9019,133.9064,51.13,93,94,12.64,RU,1624133602
Ostrovnoy,68.0531,39.5131,48.52,80,39,8.03,RU,1624133602
Haines Junction,60.7522,-137.5108,67.55,42,100,6.24,CA,1624133603
Saryozek,44.3583,77.9753,58.06,83,100,10.38,KZ,1624133603
Mahébourg,-20.4081,57.7,71.71,62,4,15.97,MU,1624133603
Brigantine,39.4101,-74.3646,86.02,70,20,8.05,US,1624133603
East London,-33.0153,27.9116,64.36,55,4,8.19,ZA,1624133604
Iskateley,67.6803,53.1512,37.29,84,11,14.81,RU,1624133604
Thompson,55.7435,-97.8558,72.46,29,100,9.73,CA,1624133604
Formosa,-26.1775,-58.1781,60.78,63,0,11.5,AR,1624133587
Vila Velha,-20.3297,-40.2925,67.95,94,75,2.3,BR,1624133443
Ketchikan,55.3422,-131.6461,63.07,59,20,10.36,US,1624133605
Newcastle,-32.9272,151.7765,56.82,94,75,8.01,AU,1624133321
Zyryanka,65.75,150.85,61.25,43,91,5.46,RU,1624133605
Mar del Plata,-38.0023,-57.5575,50.88,61,20,1.99,AR,1624133605
Bowen,-20.0167,148.2333,58.1,47,100,7.58,AU,1624133605
Carrigaline,51.8117,-8.3986,57.0,82,75,10.36,IE,1624133606
Lorengau,-2.0226,147.2712,78.64,82,67,3.31,PG,1624133606
Kozluk,38.1938,41.4885,77.25,18,0,2.04,TR,1624133606
Domat,46.8348,9.4508,74.55,89,65,5.46,CH,1624133606
Nuuk,64.1835,-51.7216,45.21,81,75,17.27,GL,1624133607
Kodinsk,58.6881,99.1844,55.06,93,48,2.26,RU,1624133607
Ukwā,21.9667,80.4667,71.98,91,100,4.7,IN,1624133607
Hofn,64.2539,-15.2082,43.21,92,100,1.1,IS,1624133607
Buta,2.7858,24.73,69.78,97,100,2.86,CD,1624133347
Raditsa-Krylovka,53.3171,34.3574,72.16,64,4,4.47,RU,1624133608
Tadine,-21.55,167.8833,71.55,87,88,3.15,NC,1624133608
Nanortalik,60.1432,-45.2371,42.78,81,100,13.56,GL,1624133608
Avarua,-21.2078,-159.775,77.05,69,40,12.66,CK,1624133608
Erdenet,49.0333,104.0833,52.57,64,5,2.35,MN,1624133609
Nome,64.5011,-165.4064,67.15,61,1,5.75,US,1624133609
Meulaboh,4.1363,96.1285,77.38,87,100,2.04,ID,1624133609
Hervey Bay,-25.2986,152.8535,52.03,74,16,3.0,AU,1624133609
Udachny,66.4167,112.4,68.68,48,100,5.73,RU,1624133610
Madingou,-4.1536,13.55,77.61,57,9,1.81,CG,1624133610
Ponta do Sol,32.6667,-17.1,70.0,69,39,1.32,PT,1624133610
Harper,4.375,-7.7169,77.77,84,22,8.52,LR,1624133611
Norman Wells,65.282,-126.8329,69.37,31,36,10.29,CA,1624133341
Vila,42.0304,-8.1588,53.74,91,100,6.51,PT,1624133612
Naryan-Mar,67.6713,53.087,37.47,83,10,14.85,RU,1624133612
Muleba,-1.8397,31.6544,67.59,71,58,2.35,TZ,1624133612
Te Anau,-45.4167,167.7167,31.39,91,9,1.16,NZ,1624133612
Gornopravdinsk,60.05,69.9,50.9,74,100,5.68,RU,1624133613
Kamenka,51.3223,42.7678,59.52,77,0,7.81,RU,1624133613
Coyhaique,-45.5752,-72.0662,46.35,57,75,6.91,CL,1624133613
Merauke,-8.4667,140.3333,75.31,87,7,12.24,ID,1624133613
Hondagua,13.9469,122.2431,81.23,81,100,5.86,PH,1624133613
Nichinan,31.6,131.3667,72.03,92,100,3.2,JP,1624133352
La Ronge,55.1001,-105.2842,60.46,61,100,7.05,CA,1624133614
Puerto Escondido,15.85,-97.0667,86.83,54,40,6.91,MX,1624133360
Aykhal,66.0,111.5,65.34,54,91,0.85,RU,1624133614
Tekeli,44.83,78.8239,53.26,89,100,6.71,KZ,1624133614
Shahr-e Bābak,30.1165,55.1186,73.63,10,0,11.41,IR,1624133615
Santa Marta,11.2408,-74.199,86.34,74,18,17.09,CO,1624133365
Leshukonskoye,64.8989,45.7622,45.3,85,15,3.33,RU,1624133615
Fareydūnshahr,32.941,50.121,63.34,18,1,8.37,IR,1624133615
Bethel,41.3712,-73.414,88.65,59,20,5.75,US,1624133600
Ishigaki,24.3448,124.1572,84.33,80,100,1.21,JP,1624133615
Kavieng,-2.5744,150.7967,79.77,80,79,4.68,PG,1624133616
Auki,-8.7676,160.7034,76.33,83,87,4.07,SB,1624133616
Upernavik,72.7868,-56.1549,38.25,67,15,7.29,GL,1624133616
Vostok,46.4856,135.8833,46.58,78,100,4.25,RU,1624133617
Narsaq,60.9167,-46.05,52.02,77,100,5.61,GL,1624133617
Touros,-5.1989,-35.4608,77.9,77,2,15.79,BR,1624133617
San Policarpo,12.1791,125.5072,77.9,88,100,4.94,PH,1624133617
General Roca,-39.0333,-67.5833,43.2,51,0,4.81,AR,1624133618
Katherine,-14.4667,132.2667,57.52,44,87,9.22,AU,1624133618
Tasiilaq,65.6145,-37.6368,39.36,65,100,4.59,GL,1624133618
Knysna,-34.0363,23.0471,64.0,36,9,5.91,ZA,1624133618
Saint George,37.1041,-113.5841,109.87,13,1,4.0,US,1624133461
Alofi,-19.0595,-169.9187,75.09,94,75,10.36,NU,1624133619
Bambous Virieux,-20.3428,57.7575,71.65,61,4,16.13,MU,1624133619
Rehoboth,-23.3167,17.0833,55.89,34,0,7.52,NA,1624133619
Los Llanos de Aridane,28.6585,-17.9182,65.95,74,20,16.11,ES,1624133619
Poum,-20.2333,164.0167,73.69,78,97,12.37,NC,1624133620
Hilo,19.7297,-155.09,80.33,65,1,5.75,US,1624133620
Sur,22.5667,59.5289,85.73,66,100,10.09,OM,1624133336
Praia da Vitória,38.7333,-27.0667,72.75,78,6,18.9,PT,1624133620
Genhe,50.7833,121.5167,53.71,93,100,6.4,CN,1624133620
Maniitsoq,65.4167,-52.9,39.06,98,100,10.87,GL,1624133621
Safranbolu,41.2508,32.6942,60.62,95,38,0.36,TR,1624133621
Amahai,-3.3333,128.9167,76.62,89,100,3.24,ID,1624133621
Micheweni,-4.9667,39.8333,77.0,77,22,17.38,TZ,1624133621
Portland,45.5234,-122.6762,79.63,51,20,1.01,US,1624133075
Formosa do Rio Preto,-11.0483,-45.1931,87.73,32,61,5.93,BR,1624133622
Sioux Lookout,50.1001,-91.917,64.83,47,94,5.39,CA,1624133622
Yangi Marg`ilon,40.4272,71.7189,74.12,33,49,4.61,UZ,1624133622
Xining,36.6167,101.7667,56.41,59,100,2.37,CN,1624133623
Acapulco de Juárez,16.8634,-99.8901,76.82,94,90,8.05,MX,1624133390
Panguipulli,-39.6333,-72.3333,47.91,79,100,1.5,CL,1624133623
Tiksi,71.6872,128.8694,58.12,57,97,4.03,RU,1624133623
Vardø,70.3705,31.1107,44.2,90,100,9.04,NO,1624133623
Koslan,63.4564,48.8989,49.37,69,13,5.55,RU,1624133624
Ilulissat,69.2167,-51.1,46.42,57,75,5.75,GL,1624133624
Sinnamary,5.3833,-52.95,82.54,73,11,9.89,GF,1624133624
Iqaluit,63.7506,-68.5145,35.06,86,38,5.95,CA,1624133624
Rayevskaya,44.8319,37.5556,76.12,83,0,8.79,RU,1624133625
San Andrés,12.5847,-81.7006,87.82,70,20,12.66,CO,1624133625
Jurm,36.8648,70.8342,62.76,34,1,1.74,AF,1624133471
At-Bashi,41.1702,75.8106,54.01,52,86,0.54,KG,1624133625
Sittwe,20.15,92.9,79.34,84,100,6.06,MM,1624133625
Wanxian,30.8039,108.3897,69.58,90,100,2.89,CN,1624133626
Lamu,-2.2717,40.902,76.71,81,79,17.76,KE,1624133626
Kondinskoye,59.6481,67.41,54.1,90,100,10.74,RU,1624133626
Lavrentiya,65.5833,-171.0,48.51,64,56,3.91,RU,1624133626
Rasht,37.2808,49.5832,73.99,57,27,2.98,IR,1624133627
Kropotkin,45.4375,40.5756,73.81,47,75,19.98,RU,1624133627
Mackay,-21.15,149.2,58.05,54,99,10.25,AU,1624133627
Coruripe,-10.1256,-36.1756,76.41,71,14,11.05,BR,1624133627
Havøysund,70.9963,24.6622,47.28,86,99,1.86,NO,1624133628
São José da Coroa Grande,-8.8978,-35.1478,77.0,76,98,13.89,BR,1624133628
Ciudad General Terán,25.2667,-99.6833,94.89,34,99,16.42,MX,1624133628
Bilibino,68.0546,166.4372,44.6,81,100,2.82,RU,1624133628
Bauska,56.4075,24.1906,73.15,86,0,7.74,LV,1624133629
Siuna,13.7332,-84.7773,90.23,51,97,8.37,NI,1624133358
Aklavik,68.2191,-135.0107,75.92,27,36,12.8,CA,1624133629
Mabaruma,8.2,-59.7833,81.54,83,32,6.8,GY,1624133629
Novo Aripuanã,-5.1206,-60.3797,87.78,57,98,3.0,BR,1624133629
Petrokamenskoye,57.716,60.6484,59.36,96,98,7.85,RU,1624133630
Meadow Lake,34.8014,-106.5436,97.57,15,0,8.48,US,1624133630
Mahabalipuram,12.6264,80.1722,85.05,68,100,7.16,IN,1624133630
Ixtapa,20.7,-105.2,85.23,66,90,4.61,MX,1624133470
